Name,Distance(mi),Moving_Time(Min),Elev_gain(ft),Avg_Hr(bpm),Terrain_Score(1-5)
WF_1,10.3,134,3108,158,4
CM_1,3.4,78,1848,151,5
GT_1,5.6,172,3110,118,5
BD_1,18.9,273,4900,145,5
HC_1,6.3,72,1992,160,4
GRT_1,16.9,285,5915,154,5
CS_1,4.8,81,1930,124,5
MC_1,18.5,279,5500,154,4
CS_2,4.72,121,1900,112,4
WF_2,12.1,156,3450,156,5
MC_2,15.7,270,3600,126,4
ST_1,6.3,103,1660,124,3
MC_3,15.4,193,3600,153,4
CM_2,3.9,84,1550,132,5
CD_1,13.3,299,4500,124,5
AG_1,17.8,280,5380,145,5
BS_1,19.8,295,5050,138,3
PH_1,8.2,102,1300,104,3
MC_4,17.6,320,3840,153,5
AG_2,8,204,3140,140,5
LP_1,15.6,297,2320,113,5
PH_2,9.4,140,2300,147,3
CL_2,14.5,287,3200,119,4
CR_1,6,86,1580,146,3
HC_2,5.5,77,1787,140,4
CS_2,4.6,71,1932,147,4
CM_3,3.95,59,1583,149,5
JK_1,8.1,96,1383,135,2
CL_3,16.6,348,5732,150,5
AS_1,5.2,87,1760,127,4
CM_4,4,86,1596,118,5
ST_2,6.5,89,1657,132,3
CS_3,4.6,73,1929,140,4
WF_3,20,262,3983,142,3
AL_1,18,336,4717,134,4
CL_4,14.8,224,3285,133,3
AL_2,8,146,3091,152,3
VIC_1,7.12,62,500,155,2
VIC_2,3.2,30,190,141,1
VIC_3,6.43,66,395,143,2
VIC_4,6,55,408,163,2
VIC_5,4.6,45,317,139,1
VIC_6,7,65,488,152,2
VIC_7,3.5,31,190,149,1
HuntRd_1,10,76,362,161,1
VIC_8,6.8,56,442,150,2
VIC_9,6.1,61,413,135,2
VIC_10,9,72,637,158,2
VIC_11,3.3,32,190,138,1
VIC_12,4,39,196,132,2
Tower_1,6.2,61,1385,158,3
WAG_1,30.1,468,3774,139,4
WAG_2,30,290,3774,156,4
FM_1,32,630,7809,139,4
